!MOLECULE
36ArH+
!MOLECULAR WEIGHT
37
!NUMBER OF ENERGY LEVELS
12
! LEVEL + ENERGY(CM-1) + WEIGHT + QUANTUM NOS.
     1       0.0000       1.0   0          
     2      20.5984       3.0   1          
     3      61.7803       5.0   2          
     4     123.5159       7.0   3          
     5     205.7603       9.0   4          
     6     308.4540      11.0   5          
     7     431.5225      13.0   6          
     8     574.8766      15.0   7          
     9     738.4125      17.0   8          
    10     922.0116      19.0   9          
    11    1125.5408      21.0  10          
    12    1348.8528      23.0  11   
!NUMBER OF RADIATIVE TRANSITIONS
11
!TRANS UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_up(K)
     1       2    1   0.433E-02     617.52523    29.637
     2       3    2   0.415E-01    1234.60275    88.889
     3       4    3   0.150E+00    1850.78521   177.713
     4       5    4   0.367E+00    2465.62595   296.045
     5       6    5   0.732E+00    3078.67933   443.799
     6       7    6   0.128E+01    3689.50111   620.869
     7       8    7   0.204E+01    4297.64873   827.125
     8       9    8   0.306E+01    4902.68170  1062.418
     9      10    9   0.436E+01    5504.16189  1326.578
    10      11   10   0.597E+01    6101.65386  1619.413
    11      12   11   0.792E+01    6694.72513  1940.711
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
5 36ArH+ - H atoms:  P, Dagdigian, MNRAS 477, 802 (2018)
!NUMBER OF COLL TRANS
60
!NUMBER OF COLL TEMPS
34
!COLL TEMPS
     10     20     30     40     50     60     70     80     90    100    110    120    130    140    150    160    170    180    190    200    210    220    230    240    250    260    270    280    290    300    400    500    600   1000
! TRANS + UP + LOW + RATE COEFFS(cm^3 s^-1)
    1    2    1  5.235e-10  5.067e-10  4.875e-10  4.686e-10  4.516e-10  4.365e-10  4.232e-10  4.116e-10  4.012e-10  3.919e-10  3.836e-10  3.762e-10  3.694e-10  3.632e-10  3.575e-10  3.523e-10  3.475e-10  3.431e-10  3.390e-10  3.352e-10  3.317e-10  3.284e-10  3.253e-10  3.224e-10  3.197e-10  3.172e-10  3.148e-10  3.126e-10  3.104e-10  3.085e-10  2.939e-10  2.859e-10  2.817e-10  2.825e-10
    2    3    1  2.413e-10  2.353e-10  2.308e-10  2.257e-10  2.203e-10  2.150e-10  2.098e-10  2.048e-10  2.001e-10  1.956e-10  1.914e-10  1.874e-10  1.836e-10  1.800e-10  1.767e-10  1.734e-10  1.704e-10  1.675e-10  1.648e-10  1.622e-10  1.598e-10  1.574e-10  1.552e-10  1.531e-10  1.511e-10  1.492e-10  1.474e-10  1.456e-10  1.440e-10  1.424e-10  1.299e-10  1.216e-10  1.159e-10  1.057e-10
    3    3    2  7.860e-10  7.663e-10  7.493e-10  7.305e-10  7.116e-10  6.937e-10  6.773e-10  6.623e-10  6.486e-10  6.362e-10  6.248e-10  6.145e-10  6.051e-10  5.964e-10  5.884e-10  5.811e-10  5.744e-10  5.682e-10  5.624e-10  5.571e-10  5.522e-10  5.476e-10  5.434e-10  5.395e-10  5.358e-10  5.325e-10  5.293e-10  5.264e-10  5.236e-10  5.211e-10  5.035e-10  4.952e-10  4.921e-10  4.997e-10
    4    4    1  1.393e-10  1.366e-10  1.354e-10  1.340e-10  1.324e-10  1.305e-10  1.285e-10  1.265e-10  1.245e-10  1.225e-10  1.206e-10  1.187e-10  1.168e-10  1.151e-10  1.133e-10  1.117e-10  1.101e-10  1.085e-10  1.071e-10  1.056e-10  1.043e-10  1.030e-10  1.017e-10  1.005e-10  9.938e-11  9.828e-11  9.723e-11  9.622e-11  9.525e-11  9.432e-11  8.688e-11  8.191e-11  7.854e-11  7.255e-11
    5    4    2  4.421e-10  4.351e-10  4.313e-10  4.264e-10  4.203e-10  4.136e-10  4.067e-10  3.998e-10  3.931e-10  3.866e-10  3.803e-10  3.743e-10  3.685e-10  3.630e-10  3.577e-10  3.526e-10  3.478e-10  3.432e-10  3.387e-10  3.345e-10  3.304e-10  3.264e-10  3.227e-10  3.191e-10  3.156e-10  3.122e-10  3.090e-10  3.059e-10  3.030e-10  3.001e-10  2.765e-10  2.599e-10  2.479e-10  2.235e-10
    6    4    3  7.341e-10  7.212e-10  7.125e-10  7.024e-10  6.913e-10  6.802e-10  6.694e-10  6.592e-10  6.498e-10  6.410e-10  6.330e-10  6.256e-10  6.188e-10  6.126e-10  6.068e-10  6.015e-10  5.966e-10  5.921e-10  5.879e-10  5.841e-10  5.805e-10  5.772e-10  5.742e-10  5.713e-10  5.687e-10  5.663e-10  5.641e-10  5.620e-10  5.601e-10  5.583e-10  5.470e-10  5.431e-10  5.435e-10  5.611e-10
    7    5    1  9.243e-11  9.017e-11  8.955e-11  8.908e-11  8.850e-11  8.779e-11  8.698e-11  8.612e-11  8.522e-11  8.429e-11  8.335e-11  8.241e-11  8.148e-11  8.055e-11  7.963e-11  7.872e-11  7.783e-11  7.696e-11  7.610e-11  7.526e-11  7.444e-11  7.364e-11  7.286e-11  7.210e-11  7.136e-11  7.064e-11  6.993e-11  6.925e-11  6.858e-11  6.793e-11  6.237e-11  5.819e-11  5.506e-11  4.887e-11
    8    5    2  2.876e-10  2.822e-10  2.808e-10  2.796e-10  2.778e-10  2.756e-10  2.731e-10  2.703e-10  2.674e-10  2.644e-10  2.614e-10  2.583e-10  2.553e-10  2.524e-10  2.495e-10  2.466e-10  2.438e-10  2.411e-10  2.384e-10  2.359e-10  2.334e-10  2.309e-10  2.286e-10  2.263e-10  2.240e-10  2.219e-10  2.198e-10  2.178e-10  2.158e-10  2.139e-10  1.977e-10  1.855e-10  1.761e-10  1.545e-10
    9    5    3  4.778e-10  4.701e-10  4.678e-10  4.651e-10  4.613e-10  4.566e-10  4.513e-10  4.457e-10  4.400e-10  4.341e-10  4.284e-10  4.227e-10  4.171e-10  4.117e-10  4.064e-10  4.013e-10  3.964e-10  3.917e-10  3.871e-10  3.827e-10  3.785e-10  3.744e-10  3.705e-10  3.667e-10  3.631e-10  3.596e-10  3.563e-10  3.531e-10  3.500e-10  3.470e-10  3.230e-10  3.065e-10  2.950e-10  2.718e-10
   10    5    4  6.556e-10  6.424e-10  6.357e-10  6.294e-10  6.227e-10  6.157e-10  6.087e-10  6.019e-10  5.955e-10  5.894e-10  5.838e-10  5.786e-10  5.737e-10  5.692e-10  5.651e-10  5.614e-10  5.579e-10  5.548e-10  5.519e-10  5.493e-10  5.469e-10  5.447e-10  5.427e-10  5.409e-10  5.394e-10  5.379e-10  5.366e-10  5.355e-10  5.345e-10  5.336e-10  5.301e-10  5.328e-10  5.389e-10  5.719e-10
   11    6    1  6.517e-11  6.397e-11  6.365e-11  6.347e-11  6.324e-11  6.293e-11  6.255e-11  6.211e-11  6.164e-11  6.114e-11  6.063e-11  6.012e-11  5.960e-11  5.908e-11  5.857e-11  5.807e-11  5.757e-11  5.709e-11  5.661e-11  5.614e-11  5.567e-11  5.522e-11  5.477e-11  5.434e-11  5.391e-11  5.349e-11  5.307e-11  5.267e-11  5.227e-11  5.188e-11  4.835e-11  4.542e-11  4.299e-11  3.667e-11
   12    6    2  2.002e-10  1.978e-10  1.974e-10  1.973e-10  1.970e-10  1.963e-10  1.954e-10  1.942e-10  1.928e-10  1.913e-10  1.897e-10  1.880e-10  1.863e-10  1.846e-10  1.828e-10  1.810e-10  1.792e-10  1.775e-10  1.758e-10  1.740e-10  1.724e-10  1.707e-10  1.691e-10  1.675e-10  1.659e-10  1.644e-10  1.629e-10  1.615e-10  1.601e-10  1.587e-10  1.466e-10  1.371e-10  1.295e-10  1.104e-10
   13    6    3  3.323e-10  3.292e-10  3.287e-10  3.282e-10  3.272e-10  3.255e-10  3.232e-10  3.206e-10  3.176e-10  3.145e-10  3.113e-10  3.080e-10  3.048e-10  3.015e-10  2.983e-10  2.951e-10  2.920e-10  2.890e-10  2.861e-10  2.832e-10  2.804e-10  2.776e-10  2.750e-10  2.724e-10  2.699e-10  2.675e-10  2.651e-10  2.628e-10  2.606e-10  2.585e-10  2.401e-10  2.261e-10  2.154e-10  1.904e-10
   14    6    4  4.590e-10  4.557e-10  4.549e-10  4.538e-10  4.518e-10  4.490e-10  4.456e-10  4.418e-10  4.377e-10  4.335e-10  4.292e-10  4.249e-10  4.207e-10  4.165e-10  4.123e-10  4.083e-10  4.044e-10  4.005e-10  3.968e-10  3.931e-10  3.896e-10  3.862e-10  3.829e-10  3.797e-10  3.766e-10  3.736e-10  3.707e-10  3.678e-10  3.651e-10  3.625e-10  3.403e-10  3.242e-10  3.123e-10  2.877e-10
   15    6    5  5.722e-10  5.635e-10  5.588e-10  5.551e-10  5.514e-10  5.476e-10  5.438e-10  5.400e-10  5.364e-10  5.330e-10  5.299e-10  5.269e-10  5.242e-10  5.217e-10  5.194e-10  5.174e-10  5.155e-10  5.138e-10  5.123e-10  5.109e-10  5.097e-10  5.087e-10  5.078e-10  5.070e-10  5.063e-10  5.058e-10  5.053e-10  5.050e-10  5.047e-10  5.045e-10  5.067e-10  5.135e-10  5.227e-10  5.648e-10
   16    7    1  4.882e-11  4.802e-11  4.782e-11  4.776e-11  4.768e-11  4.756e-11  4.739e-11  4.716e-11  4.691e-11  4.662e-11  4.632e-11  4.601e-11  4.570e-11  4.538e-11  4.506e-11  4.474e-11  4.443e-11  4.412e-11  4.381e-11  4.351e-11  4.321e-11  4.292e-11  4.263e-11  4.235e-11  4.207e-11  4.179e-11  4.152e-11  4.126e-11  4.099e-11  4.074e-11  3.837e-11  3.635e-11  3.459e-11  2.952e-11
   17    7    2  1.482e-10  1.470e-10  1.470e-10  1.474e-10  1.478e-10  1.479e-10  1.478e-10  1.475e-10  1.470e-10  1.463e-10  1.455e-10  1.446e-10  1.436e-10  1.425e-10  1.414e-10  1.403e-10  1.391e-10  1.379e-10  1.368e-10  1.356e-10  1.344e-10  1.332e-10  1.321e-10  1.309e-10  1.297e-10  1.286e-10  1.275e-10  1.264e-10  1.253e-10  1.243e-10  1.147e-10  1.069e-10  1.005e-10  8.403e-11
   18    7    3  2.458e-10  2.442e-10  2.441e-10  2.442e-10  2.439e-10  2.433e-10  2.423e-10  2.410e-10  2.394e-10  2.376e-10  2.357e-10  2.337e-10  2.316e-10  2.295e-10  2.273e-10  2.252e-10  2.231e-10  2.210e-10  2.189e-10  2.168e-10  2.148e-10  2.128e-10  2.109e-10  2.090e-10  2.071e-10  2.053e-10  2.035e-10  2.018e-10  2.001e-10  1.985e-10  1.839e-10  1.725e-10  1.634e-10  1.405e-10
   19    7    4  3.405e-10  3.387e-10  3.386e-10  3.383e-10  3.375e-10  3.362e-10  3.344e-10  3.322e-10  3.298e-10  3.271e-10  3.243e-10  3.215e-10  3.185e-10  3.156e-10  3.126e-10  3.097e-10  3.068e-10  3.040e-10  3.012e-10  2.985e-10  2.958e-10  2.932e-10  2.907e-10  2.882e-10  2.858e-10  2.834e-10  2.811e-10  2.789e-10  2.767e-10  2.746e-10  2.567e-10  2.432e-10  2.328e-10  2.088e-10
   20    7    5  4.304e-10  4.285e-10  4.284e-10  4.280e-10  4.270e-10  4.254e-10  4.232e-10  4.206e-10  4.176e-10  4.144e-10  4.111e-10  4.077e-10  4.043e-10  4.008e-10  3.974e-10  3.940e-10  3.907e-10  3.874e-10  3.843e-10  3.811e-10  3.781e-10  3.751e-10  3.723e-10  3.695e-10  3.668e-10  3.641e-10  3.616e-10  3.591e-10  3.567e-10  3.544e-10  3.348e-10  3.204e-10  3.099e-10  2.887e-10
